Assignment, Due, Moodle, File
Assignment 1, 2024-03-08, 2298116, "A1.qmd"
Assignment 2, 2024-03-24, 2034165, "A2.qmd"
Assignment 3, 2024-04-14, 2034169, "A3.qmd"
Assignment 4, 2024-05-05, 2034170, "A4.qmd"
Retail Project, 2024-05-24, 2034167, "Project.qmd"
